Pos,2PA,FTA,AST,TOV
PG,8.470588235294118,3.1764705882352944,4.235294117647059,2.4705882352941178
C,8.651162790697676,1.3953488372093024,0.8372093023255813,1.3953488372093024
PF,2.746987951807229,0.7228915662650602,1.879518072289157,1.4457831325301205
SF,6.694214876033058,4.760330578512397,2.0826446280991737,1.4876033057851241
PG,8.222222222222223,1.8888888888888888,3.6666666666666665,1.5555555555555556
SF,3.272727272727273,0.7552447552447551,2.769230769230769,1.762237762237762
PF,11.349753694581281,1.773399014778325,2.8374384236453203,1.9507389162561577
PF,11.020408163265305,1.4693877551020407,2.9387755102040813,0.36734693877551017
C,14.096385542168674,5.855421686746988,4.120481927710842,2.3855421686746987
PF,15.069767441860465,4.918604651162791,2.8255813953488373,2.0930232558139537
SF,13.423728813559322,5.898305084745762,3.7627118644067803,2.745762711864407
SF,7.969465648854961,4.67175572519084,1.3740458015267176,1.648854961832061
SF,8.910891089108912,2.851485148514852,1.425742574257426,1.7821782178217822
SF,10.657894736842106,4.2631578947368425,2.368421052631579,4.736842105263158
PF,10.813186813186812,3.9560439560439558,1.4505494505494505,1.5824175824175821
SG,7.453744493392072,4.599118942731277,6.660792951541851,3.488986784140969
C,7.1178707224334605,4.517110266159696,1.7794676806083651,1.9163498098859315
PF,9.159763313609467,1.9171597633136095,2.1301775147928996,1.0650887573964498
SG,10.8,5.538461538461538,3.0461538461538464,3.323076923076923
PF,7.199999999999999,2.7529411764705887,1.4823529411764707,1.6941176470588235
SG,8.936170212765958,3.0638297872340425,2.2978723404255317,2.5531914893617023
SG,6.743202416918429,2.392749244712991,4.1329305135951655,2.175226586102719
C,11.317725752508363,2.5284280936454855,1.4448160535117056,1.4448160535117056
SF,4.588235294117648,2.1176470588235294,1.0588235294117647,1.411764705882353
SF,5.09433962264151,5.09433962264151,2.0377358490566038,2.207547169811321
SG,4.421052631578948,2.0210526315789474,2.526315789473684,1.3894736842105264
PF,6.285714285714286,2.857142857142857,4.2285714285714295,1.9428571428571426
SG,9.784615384615384,2.953846153846154,2.215384615384615,2.5846153846153848
